"","statecode","countycode","v124_rawvalue"
"1381","27","067",1
"1382","27","069",0
"1383","27","071",0
"1384","27","073",0
"1385","27","075",0
"1386","27","077",0
"1387","27","079",0
"1388","27","081",0
"1389","27","083",0
"1390","27","087",0
"1391","27","089",0
"1392","27","091",0
"1393","27","085",0
"1394","27","093",0
"1395","27","095",0
"1396","27","000",NA
"1397","27","097",0
"1398","27","099",0
"1399","27","101",0
"1400","27","103",0
"1401","27","105",1
"1402","27","107",0
"1403","27","109",0
"1404","27","111",1
"1405","27","113",0
"1406","27","115",0
"1407","27","117",0
"1408","27","119",0
"1409","27","121",0
"1410","27","123",0
"1411","27","125",0
"1412","27","127",0
"1413","27","129",0
"1414","27","131",0
"1415","27","133",0
"1416","27","135",1
"1417","27","139",0
"1418","27","141",0
"1419","27","143",1
"1420","27","145",0
"1421","27","147",1
"1422","27","149",0
"1423","27","137",1
"1424","27","151",0
"1425","27","153",0
"1426","27","155",0
"1427","27","157",0
"1428","27","159",0
"1429","27","161",0
"1430","27","163",0
"1431","27","165",0
"1432","27","167",0
"1433","27","169",0
"1434","27","171",1
"1435","27","173",1
"1436","29","001",0
"1437","29","003",1
"1438","29","005",0
"1439","29","007",0
"1440","29","009",0
"1441","29","011",0
"1442","29","013",1
"1443","29","015",0
"1444","29","017",0
"1445","29","019",0
"1446","29","021",0
"1447","29","023",0
"1448","29","025",1
"1449","29","027",0
"1450","29","029",1
"1451","29","031",0
"1452","29","033",0
"1453","29","035",0
"1454","29","037",1
"1455","29","039",1
"1456","29","041",0
"1457","29","043",0
"1458","29","045",0
"1459","29","047",0
"1460","29","049",0
"1461","29","051",0
"1462","29","053",0
"1463","29","055",0
"1464","29","057",1
"1465","29","059",0
"1466","29","061",0
"1467","29","063",1
"1468","29","065",0
"1469","29","067",0
"1470","29","069",1
"1471","29","071",1
"1472","29","073",0
"1473","29","075",1
"1474","29","077",0
"1475","29","079",0
"1476","29","081",1
"1477","29","083",1
"1478","29","085",1
"1479","29","087",1
"1480","29","089",0
"1481","29","091",0
"1482","29","093",1
"1483","29","095",0
