statecode,countycode,v037_race_white,v037_race_black,v037_race_aian,v037_race_asian,v037_race_nhopi,v037_race_tom,v037_race_hispanic,v037_race_,v037_race_white_cilow,v037_race_black_cilow,v037_race_aian_cilow,v037_race_asian_cilow,v037_race_nhopi_cilow,v037_race_tom_cilow,v037_race_hispanic_cilow,v037_race__cilow,v037_race_white_cihigh,v037_race_black_cihigh,v037_race_aian_cihigh,v037_race_asian_cihigh,v037_race_nhopi_cihigh,v037_race_tom_cihigh,v037_race_hispanic_cihigh,v037_race__cihigh
02,122,0.047178262167811284,NA,0.0657439446366782,NA,NA,0.06382978723404255,0.08056872037914692,0.046413502109704644,0.039997421415077804,NA,0.03717014534845417,NA,NA,0.03912100985182175,0.04384406627155247,0.01962896689976984,0.054359102920544765,NA,0.09431774392490222,NA,NA,0.08853856461626335,0.11729337448674138,0.07319803731963945
02,130,0.049281314168377825,NA,0.136,0.125,NA,NA,NA,NA,0.03005665071009113,NA,0.07590651506860333,0.055900680834823635,NA,NA,NA,NA,0.06850597762666452,NA,0.1960934849313967,0.19409931916517636,NA,NA,NA,NA
02,150,0.0345489443378119,NA,NA,NA,NA,NA,NA,NA,0.018866284177836503,NA,NA,NA,NA,NA,NA,NA,0.0502316044977873,NA,NA,NA,NA,NA,NA,NA
02,158,NA,NA,0.08190224570673713,NA,NA,NA,NA,NA,NA,NA,0.06808932555427205,NA,NA,NA,NA,NA,NA,NA,0.0957151658592022,NA,NA,NA,NA,NA
02,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,170,0.05327523193702558,NA,0.0965391621129326,0.06741573033707865,NA,0.0625,0.05575539568345324,0.054455445544554455,0.048056395509591204,NA,0.0718346473686912,0.030579877017753845,NA,0.04650661535907026,0.036683038013268596,0.023162817109694117,0.05849406836445996,NA,0.12124367685717401,0.10425158365640345,NA,0.07849338464092974,0.07482775335363788,0.0857480739794148
02,180,NA,NA,0.07380457380457381,NA,NA,NA,NA,NA,NA,NA,0.05728261672302764,NA,NA,NA,NA,NA,NA,NA,0.09032653088611997,NA,NA,NA,NA,NA
02,185,NA,NA,0.08651026392961877,NA,NA,NA,NA,NA,NA,NA,0.06541186311557888,NA,NA,NA,NA,NA,NA,NA,0.10760866474365867,NA,NA,NA,NA,NA
02,188,NA,NA,0.09955257270693513,NA,NA,NA,NA,NA,NA,NA,0.07992607821862444,NA,NA,NA,NA,NA,NA,NA,0.11917906719524582,NA,NA,NA,NA,NA
02,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,198,0.06172839506172839,NA,0.0972972972972973,NA,NA,NA,NA,NA,0.024668401160360995,NA,0.054590896961783195,NA,NA,NA,NA,NA,0.09878838896309579,NA,0.1400036976328114,NA,NA,NA,NA,NA
02,220,0.055384615384615386,NA,NA,NA,NA,NA,NA,NA,0.030516866672880616,NA,NA,NA,NA,NA,NA,NA,0.08025236409635016,NA,NA,NA,NA,NA,NA,NA
02,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,240,0.04789272030651341,NA,NA,NA,NA,NA,NA,NA,0.029573857272040607,NA,NA,NA,NA,NA,NA,NA,0.06621158334098622,NA,NA,NA,NA,NA,NA,NA
02,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,290,NA,NA,0.05228758169934641,NA,NA,NA,NA,NA,NA,NA,0.027345487108937014,NA,NA,NA,NA,NA,NA,NA,0.0772296762897558,NA,NA,NA,NA,NA
